Postcode,Avg asking price,Avg asking price (studio),Avg asking price (1 bed),Avg asking price (2 bed),Avg asking price (3 bed),Avg asking price (4 bed),Avg asking price (5 bed),Avg asking £/sqft,Avg sold £/sqft,Avg blended £/sqft,Sales per month,Turnover (sale),Avg asking rent (pm),"Avg asking rent (studio, pm)","Avg asking rent (1 bed, pm)","Avg asking rent (2 bed, pm)","Avg asking rent (3 bed, pm)","Avg asking rent (4 bed, pm)","Avg asking rent (5 bed, pm)","Avg asking rent HMO (double, pm)","Avg asking rent HMO (double ensuite, pm)",Avg yield,Turnover (rental),1yr,3yr,5yr,Crime rate,UK region,Population,Degree,Deprivation,AB,Avg. household income,Avg. bedrooms,Social rent,Private rent
SE9,"430,551",,"247,125","339,854","481,289","654,452",,478,454,466,21.0,17%,"1,469",,,"1,315","1,650",,,578,,4.1%,109%,6%,15%,22%,115,Greater London,"63,082",24%,29%,21%,"50,400",3.0,29%,10%
SE10,"563,831",,"405,563","571,758","756,338","1,016,765",,743,716,729,17.0,5%,"1,781",,"1,485","1,883","2,478",,,846,"1,092",3.8%,122%,8%,16%,19%,257,Greater London,"23,744",52%,22%,44%,"60,500",2.0,33%,29%
SE11,"551,090",,"430,085","556,359","764,286",,,821,736,779,4.0,4%,"1,757",,"1,546","2,054",,,,712,,3.8%,140%,20%,10%,3%,156,Greater London,"21,589",43%,31%,32%,"52,300",2.0,48%,22%
SE12,"432,891",,"256,630","355,599","551,403","662,850",,497,482,489,11.0,13%,"1,421",,,"1,358",,,,630,,3.9%,109%,10%,17%,20%,101,Greater London,"27,353",31%,28%,25%,"53,200",2.0,27%,18%
SE13,"427,284",,"301,016","410,569","633,539","982,500",,620,584,602,18.0,10%,"1,376",,"1,277","1,490",,,,649,,3.9%,140%,3%,11%,30%,188,Greater London,"40,848",46%,25%,34%,"56,100",2.0,28%,30%
SE14,"469,519",,"288,167","470,270","690,902",,,651,628,639,9.0,8%,"1,396",,"1,217",,,,,643,,3.6%,140%,12%,27%,36%,153,Greater London,"24,781",40%,29%,24%,"50,500",2.0,35%,33%
SE15,"498,632",,"331,884","474,316","697,059","986,892",,652,665,659,14.0,6%,"1,618",,"1,319","1,640",,,,689,,3.9%,140%,8%,14%,23%,147,Greater London,"64,131",37%,33%,21%,"47,600",2.0,51%,19%
SE16,"480,275",,"357,613","518,718","663,607","837,495",,684,681,683,18.0,7%,"1,907",,"1,523","1,943","2,538",,,796,"1,056",4.8%,140%,-4%,-6%,2%,175,Greater London,"45,831",41%,29%,30%,"55,200",2.0,47%,24%
SE17,"507,249",,"417,027","524,999","584,997",,,788,796,792,4.0,4%,"1,999",,"1,658","2,148",,,,731,,4.7%,140%,-9%,-12%,-1%,179,Greater London,"31,739",33%,36%,17%,"46,500",2.0,61%,20%
SE18,"403,392",,"302,509","383,034","488,335","577,222",,593,509,551,24.0,5%,"1,424",,"1,163","1,519","1,689",,,610,753,4.2%,140%,-1%,-7%,16%,157,Greater London,"76,038",29%,33%,19%,"47,600",2.0,39%,24%
SE19,"417,696",,"301,250","404,173","565,758","812,813",,548,554,551,13.0,7%,"1,388",,"1,146","1,400",,,,,,4.0%,117%,2%,9%,16%,126,Greater London,"27,638",41%,24%,29%,"53,400",2.0,24%,25%
SE20,"362,532",,"279,710","381,640","487,774",,,516,532,524,11.0,8%,"1,231",,"1,083","1,295",,,,,,4.1%,117%,1%,8%,14%,169,Greater London,"22,821",34%,27%,22%,"50,000",2.0,34%,24%
SE21,"626,310",,,"465,341","671,664",,,742,679,710,10.0,20%,"1,788",,,,,,,,,3.4%,,-2%,4%,20%,96,Greater London,"15,257",54%,18%,42%,"59,900",3.0,26%,21%
SE22,"579,974",,"384,353","526,769","762,923","1,152,029",,721,727,724,16.0,11%,"1,689",,"1,375","1,706",,,,,,3.5%,140%,-4%,7%,16%,104,Greater London,"29,687",54%,20%,40%,"61,900",2.0,26%,25%
SE23,"482,895",,"296,215","443,838","623,550","880,455",,597,581,589,19.0,14%,"1,583",,"1,204","1,514",,,,615,,3.9%,109%,-2%,10%,11%,111,Greater London,"33,682",45%,23%,32%,"59,100",2.0,24%,25%
SE24,"614,303",,"376,866","539,640","749,643",,,782,760,771,8.0,13%,"1,607",,,,,,,,,3.1%,82%,1%,11%,12%,120,Greater London,"18,761",48%,26%,42%,"61,200",3.0,29%,25%
SE25,"344,076",,"250,258","321,442","470,475","586,000",,480,451,465,15.0,8%,"1,137",,"1,026","1,326",,,,588,,4.0%,92%,7%,12%,23%,133,Greater London,"34,509",30%,28%,19%,"48,500",2.0,19%,28%
SE26,"430,729",,"296,571","416,708","560,513","848,182",,599,547,573,18.0,12%,"1,384",,,"1,423",,,,671,,3.9%,117%,1%,6%,17%,145,Greater London,"28,432",37%,27%,27%,"52,100",2.0,34%,21%
SE27,"508,573",,"316,875","442,658","662,466",,,607,602,605,7.0,5%,"1,426",,,"1,487",,,,,,3.4%,113%,6%,18%,15%,118,Greater London,"21,358",39%,28%,27%,"52,000",2.0,31%,26%
SE28,"307,045",,"212,692","288,748","383,667",,,420,386,403,6.0,14%,"1,262",,,"1,289",,,,,,4.9%,140%,6%,12%,20%,113,Greater London,"29,318",33%,28%,18%,"47,900",2.0,32%,27%
SG1,"313,283",,"169,641","254,086","352,971","531,482",,377,330,354,24.0,21%,"1,058",,796,"1,149","1,383",,,494,578,4.1%,140%,7%,16%,27%,152,East of England,"51,296",24%,22%,20%,"46,800",3.0,30%,13%
SG2,"349,833",,"189,769","288,196","345,410","582,961",,386,338,362,18.0,28%,"1,135",,,,,,,485,,3.9%,109%,5%,12%,19%,84,East of England,"42,038",21%,22%,21%,"48,300",3.0,26%,9%
SG3,"453,740",,,"359,230","470,357",,,451,444,447,4.0,20%,,,,,,,,,,,,4%,9%,13%,66,East of England,"7,064",37%,16%,38%,"54,800",3.0,17%,12%
SG4,"462,942",,"209,793","319,677","499,286","764,072",,498,439,469,10.0,13%,"1,084",,,"1,091",,,,,,2.8%,140%,-2%,12%,22%,58,East of England,"28,910",31%,19%,38%,"53,200",3.0,14%,14%
SG5,"427,678",,"216,667","317,498","459,509","596,998","824,909",433,400,416,21.0,18%,"1,061",,845,"1,134",,,,,,3.0%,140%,-1%,12%,16%,77,East of England,"31,306",33%,19%,33%,"51,500",3.0,17%,14%
SG6,"387,986",,,"271,452","411,488","605,225",,444,379,411,15.0,35%,"1,015",,,,,,,,,3.1%,101%,-4%,7%,13%,86,East of England,"33,166",28%,23%,27%,"46,100",3.0,32%,9%
SG7,"417,833",,,"318,421","425,333","606,250",,,393,393,4.0,12%,"1,035",,,,,,,,,3.0%,,8%,21%,20%,74,East of England,"13,324",33%,17%,33%,"50,200",3.0,16%,14%
SG8,"452,868",,"188,125","281,937","424,749","633,430","1,039,688",408,367,387,27.0,16%,"1,058",,,,,,,,,2.8%,127%,-4%,11%,17%,57,East of England,"38,180",34%,16%,33%,"53,600",3.0,14%,12%
SG9,"516,000",,,"342,143","487,750","644,719",,,387,387,8.0,16%,,,,,,,,,,,,2%,5%,12%,76,East of England,"9,510",29%,18%,30%,"52,400",3.0,12%,9%
SG10,"694,765",,,,,,,,437,437,4.0,19%,,,,,,,,,,,,,,,48,East of England,"2,089",31%,17%,37%,"48,300",3.0,17%,11%
SG11,"599,549",,,,"523,746","726,590",,,414,414,4.0,8%,,,,,,,,,,,,-7%,8%,,59,East of England,"8,088",29%,18%,32%,"51,700",3.0,13%,10%
SG12,"397,872",,"229,699","307,150","459,767","671,071",,456,444,450,18.0,15%,"1,206",,,"1,223",,,,,,3.6%,140%,,10%,17%,68,East of England,"29,700",30%,18%,30%,"49,300",3.0,14%,14%
SG13,"477,017",,"263,999","354,533","511,248","816,429",,493,482,487,12.0,13%,"1,360",,,"1,246",,,,,,3.4%,,2%,10%,16%,75,East of England,"16,263",38%,14%,37%,"54,200",3.0,12%,13%
SG14,"447,038",,"241,940","358,595","521,239","748,053",,495,480,488,13.0,17%,"1,223",,890,"1,292",,,,,,3.3%,98%,-10%,2%,14%,98,East of England,"18,769",37%,18%,35%,"53,500",3.0,17%,13%
SG15,"313,367",,,"249,639","338,122",,,,341,341,4.0,15%,,,,,,,,,,,,,10%,10%,63,East of England,"5,584",24%,19%,21%,"48,200",3.0,18%,12%
SG16,"441,677",,,,"363,750","528,358",,,356,356,5.0,17%,,,,,,,,,,,,10%,22%,23%,44,East of England,"6,091",31%,13%,30%,"50,100",3.0,11%,17%
SG17,"419,882",,,"274,285","383,155","552,991",,,338,338,8.0,11%,,,,,,,,,,,,4%,7%,23%,77,East of England,"12,319",29%,15%,28%,"51,100",3.0,15%,13%
SG18,"366,426",,"180,000","259,179","379,958","520,832",,364,333,349,24.0,19%,867,,,,,,,,,2.8%,,5%,3%,19%,86,East of England,"23,934",25%,19%,25%,"47,300",3.0,14%,13%
SG19,"387,204",,,"269,337","358,924","519,037",,,311,311,21.0,26%,,,,,,,,,,,,3%,5%,20%,80,East of England,"24,197",27%,18%,27%,"50,400",3.0,15%,12%
SK1,"183,533",,,"172,494","226,786",,,,195,195,6.0,14%,763,,,,,,,,,5.0%,,7%,24%,34%,,North West,"11,230",16%,32%,11%,"35,500",2.0,30%,17%
SK2,"258,086",,,"203,757","281,413","410,139",,,238,238,22.0,26%,826,,,,,,,,,3.8%,,13%,23%,31%,,North West,"29,451",23%,26%,20%,"40,700",3.0,16%,11%
SK3,"227,749",,,"192,536","268,473",,,246,224,235,16.0,27%,822,,,826,,,,,,4.3%,,9%,24%,43%,2,North West,"27,923",24%,27%,19%,"39,700",3.0,21%,15%
SK4,"327,691",,,"224,439","346,033","570,865",,313,300,307,18.0,20%,831,,,850,,,,,,3.0%,140%,11%,13%,32%,,North West,"34,510",37%,21%,35%,"46,400",3.0,10%,16%
SK5,"200,104",,,"175,768","224,753",,,239,205,222,15.0,24%,812,,,,,,,,,4.9%,140%,10%,20%,45%,,North West,"29,538",15%,34%,11%,"35,200",2.0,24%,14%
SK6,"312,452",,,"226,807","305,579","504,180",,297,262,279,29.0,27%,825,,,,,,,,,3.2%,,13%,23%,39%,1,North West,"50,689",29%,22%,26%,"42,100",3.0,13%,9%
SK7,"371,295",,,"277,648","336,763","621,934",,343,303,323,28.0,23%,997,,,,,,,,,3.2%,,,10%,29%,1,North West,"40,669",32%,19%,36%,"47,900",3.0,4%,8%
SK8,"347,755",,"134,583","265,039","345,452","482,260","634,490",314,295,304,35.0,22%,"1,071",,,975,"1,245",,,522,,3.7%,140%,2%,19%,30%,1,North West,"58,434",34%,19%,33%,"46,400",3.0,7%,9%
SK9,"455,529",,,"314,219","459,989","646,379","1,103,967",389,349,369,26.0,15%,"1,424",,,"1,086","1,439",,,,,3.8%,117%,-2%,15%,25%,94,North West,"37,921",41%,16%,41%,"48,800",3.0,12%,13%
SK10,"350,687",,,"214,761","313,527","529,918","1,261,867",323,278,300,21.0,17%,891,,,767,,,,,,3.0%,101%,6%,15%,28%,83,North West,"39,363",37%,17%,36%,"49,700",3.0,10%,12%
SK11,"235,912",,,"170,734","270,784","423,995",,,235,235,23.0,35%,822,,,778,,,,496,,4.2%,82%,-3%,8%,27%,108,North West,"36,882",31%,21%,25%,"42,500",3.0,17%,14%
SK12,"400,943",,,"274,343","366,286","559,000",,367,315,341,12.0,18%,"1,097",,,,,,,,,3.3%,,2%,19%,31%,52,North West,"19,049",38%,14%,38%,"47,900",3.0,6%,7%
SK13,"235,347",,,"172,342","266,140","406,289",,259,221,240,18.0,27%,780,,,742,,,,,,4.0%,,13%,18%,38%,96,North West,"33,104",25%,27%,25%,"44,600",3.0,15%,13%
SK14,"202,753",,,"156,212","216,814","335,665",,229,186,208,30.0,29%,713,,,711,,,,,,4.2%,,11%,18%,33%,1,North West,"46,177",18%,30%,14%,"35,900",3.0,25%,12%
SK15,"210,669",,,"133,274","222,020","394,333",,,192,192,13.0,23%,,,,,,,,,,,,16%,29%,35%,1,North West,"27,625",21%,26%,18%,"38,500",3.0,23%,13%
SK16,"203,259",,,"131,071","219,998",,,,185,185,9.0,33%,,,,,,,,,,,,18%,37%,53%,,North West,"19,475",15%,33%,12%,"36,500",3.0,26%,11%
SK17,"255,438",,,"186,295","251,216","346,925",,236,210,223,24.0,22%,590,,,,,,,,,2.8%,140%,5%,20%,27%,111,North West,"31,910",26%,23%,21%,"40,700",3.0,12%,17%
SK22,"257,695",,,"216,053","272,493",,,,226,226,6.0,15%,,,,,,,,,,,,-1%,8%,21%,71,North West,"12,221",33%,18%,24%,"47,000",3.0,15%,12%
SK23,"300,198",,,"205,734","284,272","412,998",,,233,233,15.0,30%,,,,,,,,,,,,10%,15%,34%,76,North West,"17,180",32%,18%,28%,"47,100",3.0,9%,12%
SL0,"545,713",,,"386,958","502,497","717,692",,466,491,479,5.0,10%,"1,328",,,,,,,,,2.9%,,-2%,1%,5%,99,South East,"11,149",27%,23%,29%,"54,500",3.0,13%,9%
SL1,"317,721",,"208,766","294,321","425,396","563,156","849,985",429,421,425,23.0,4%,994,738,898,"1,160","1,466",,,521,690,3.8%,132%,9%,23%,37%,139,South East,"70,098",26%,28%,20%,"49,400",2.0,17%,28%
SL2,"401,044",,"205,457","311,346","440,992","730,631",,429,423,426,13.0,7%,"1,270",,960,"1,330","1,494",,,567,,3.8%,113%,13%,8%,27%,105,South East,"53,085",25%,30%,19%,"46,800",3.0,24%,18%
SL3,"405,635",,"208,413","310,598","498,077","669,211","884,163",420,457,438,17.0,11%,"1,137",,898,"1,181","1,516",,,529,,3.4%,127%,2%,12%,10%,107,South East,"45,187",29%,26%,24%,"52,000",3.0,19%,19%
SL4,"519,519",,"286,017","402,963","560,315","824,380","1,318,182",515,485,500,22.0,8%,"1,439",,"1,110","1,406","1,888",,,585,,3.3%,117%,-3%,11%,9%,81,South East,"43,222",37%,17%,37%,"58,500",3.0,15%,20%
SL5,"652,148",,"291,539","418,224","621,418","871,032","1,805,476",487,481,484,18.0,9%,"2,486",,,"1,459",,,,,,4.6%,80%,-7%,,15%,51,South East,"24,170",42%,12%,45%,"60,800",3.0,10%,15%
SL6,"509,112",,"246,452","365,967","533,084","802,224","1,355,366",470,467,468,44.0,8%,"1,231",792,940,"1,280","1,668","2,041",,549,717,2.9%,113%,3%,12%,14%,74,South East,"77,308",37%,15%,38%,"60,400",3.0,13%,14%
SL7,"634,665",,,"464,646","701,988","878,764",,,536,536,14.0,20%,"1,535",,,,,,,,,2.9%,140%,1%,-3%,8%,57,South East,"21,059",42%,13%,45%,"60,400",3.0,10%,15%
SL8,"473,657",,,"407,327",,,,,499,499,4.0,17%,,,,,,,,,,,,,9%,14%,44,South East,"6,382",38%,15%,42%,"56,800",3.0,9%,13%
SL9,"840,617",,,"500,989","727,105","964,500","1,536,539",569,531,550,8.0,8%,"1,728",,,,,,,,,2.5%,101%,4%,24%,13%,57,South East,"20,991",44%,11%,49%,"65,200",4.0,7%,10%
SM1,"384,545",,"240,489","355,263","511,930","615,750",,486,468,477,18.0,15%,"1,311",,"1,040","1,373",,,,,,4.1%,140%,5%,16%,23%,138,Greater London,"38,265",31%,22%,26%,"54,500",2.0,12%,20%
SM2,"392,338",,"245,276","329,735","584,498","911,071","1,215,455",483,461,472,16.0,16%,"1,293",,"1,055","1,348",,,,601,,4.0%,140%,5%,33%,26%,82,Greater London,"28,260",42%,16%,36%,"59,300",3.0,9%,25%
SM3,"508,717",,,"354,546","562,498","658,846",,,486,486,12.0,20%,,,,,,,,,,,,1%,9%,29%,78,Greater London,"21,079",28%,19%,22%,"57,200",3.0,3%,11%
SM4,"449,583",,"262,496","344,207","531,299","694,583",,529,504,517,17.0,22%,"1,472",,,"1,412",,,,608,,3.9%,,7%,16%,18%,94,Greater London,"36,292",25%,28%,21%,"52,700",3.0,19%,14%
SM5,"412,105",,"237,145","346,104","492,498","677,059",,497,476,486,16.0,26%,"1,258",,,,,,,,,3.7%,,1%,12%,18%,98,Greater London,"37,962",29%,22%,20%,"54,700",3.0,23%,12%
SM6,"376,927",,"246,736","319,239","517,655","687,857",,488,454,471,19.0,18%,"1,155",,922,,,,,,,3.7%,140%,12%,8%,24%,108,Greater London,"36,166",29%,22%,22%,"53,000",3.0,21%,14%
SM7,"601,267",,,"382,604","593,077","853,121",,469,478,474,12.0,21%,,,,,,,,,,,,4%,14%,23%,72,Greater London,"18,556",33%,13%,34%,"58,200",3.0,7%,7%
SN1,"200,359",,"113,383","174,625","257,716","320,533",,230,233,231,26.0,27%,790,,704,843,,,,483,612,4.7%,140%,1%,10%,29%,184,South West,"29,453",24%,26%,28%,"45,600",2.0,9%,34%
SN2,"218,229",,"129,727","184,167","243,635","332,667",,241,229,235,31.0,55%,899,,,,"1,013",,,,,5.0%,140%,2%,7%,17%,100,South West,"41,193",16%,29%,14%,"40,300",2.0,22%,16%
SN3,"271,504",,,"195,511","273,135","392,391",,268,262,265,29.0,32%,914,,,,,,,,,4.0%,,4%,7%,14%,100,South West,"51,560",18%,25%,17%,"41,700",3.0,21%,9%
SN4,"336,095",,,"206,873","311,656","513,462",,300,281,291,19.0,27%,961,,,,,,,,,3.4%,,4%,3%,18%,60,South West,"27,358",24%,22%,31%,"46,100",3.0,12%,11%
SN5,"278,797",,,"204,343","300,186","407,143",,293,276,284,22.0,42%,851,,,,,,,,,3.7%,,2%,4%,19%,71,South West,"32,955",25%,19%,23%,"48,100",3.0,14%,14%
SN6,"351,656",,,"245,831","313,903","488,400",,317,299,308,16.0,28%,"1,021",,,,,,,,,3.5%,,-2%,5%,16%,50,South West,"21,204",23%,22%,35%,"49,100",3.0,13%,15%
SN7,"363,793",,,"256,667","347,667","509,526",,,308,308,12.0,21%,988,,,,,,,,,3.3%,,5%,10%,15%,54,South West,"13,408",37%,16%,35%,"54,600",3.0,17%,15%
SN8,"437,019",,,"275,217","414,101","607,708",,365,346,355,16.0,22%,"1,104",,,,,,,,,3.0%,,3%,16%,17%,45,South West,"23,973",35%,16%,36%,"45,800",3.0,17%,14%
SN9,"393,430",,,"245,441","395,111",,,352,312,332,6.0,22%,,,,,,,,,,,,7%,29%,30%,47,South West,"8,070",32%,16%,31%,"45,000",3.0,17%,15%
SN10,"336,818",,,"214,478","333,023","438,962",,315,269,292,26.0,33%,"1,077",,,,,,,,,3.8%,,2%,9%,24%,83,South West,"31,489",29%,18%,25%,"44,900",3.0,20%,12%
SN11,"299,870",,,"208,408","285,109","422,563",,,269,269,18.0,23%,800,,,,,,,,,3.2%,,9%,11%,25%,57,South West,"22,500",28%,18%,25%,"46,100",3.0,14%,13%
SN12,"302,212",,,"192,494","277,201","394,539",,297,262,279,21.0,34%,,,,,,,,,,,,-3%,3%,20%,83,South West,"25,104",22%,21%,19%,"43,000",3.0,14%,12%
SN13,"341,024",,,"250,588","326,591","425,357",,327,305,316,8.0,32%,"1,266",,,,,,,,,4.5%,,2%,8%,18%,45,South West,"16,487",34%,16%,32%,"47,600",3.0,15%,14%
SN14,"355,078",,,"248,995","312,490","494,373",,367,302,334,16.0,30%,976,,,,,,,,,3.3%,,3%,9%,22%,53,South West,"28,067",31%,17%,31%,"50,000",3.0,15%,14%
SN15,"315,631",,"159,727","210,314","322,835","454,998",,322,294,308,22.0,23%,853,,,,,,,,,3.2%,,3%,9%,14%,68,South West,"35,122",28%,18%,29%,"49,300",3.0,12%,17%
SN16,"468,293",,,"327,912",,"646,364",,381,328,354,10.0,35%,"1,120",,,,,,,,,2.9%,,1%,6%,29%,41,South West,"13,717",38%,15%,41%,"49,500",3.0,10%,14%
SN25,"265,641",,"129,454","167,557","280,721","391,413","485,711",256,262,259,40.0,44%,924,,,821,,,,,,4.2%,140%,3%,2%,21%,69,South West,"35,153",21%,22%,29%,"54,600",3.0,8%,19%
SN26,"480,778",,,,,,,,293,293,2.0,23%,,,,,,,,,,,,23%,11%,24%,74,South West,"1,761",29%,16%,31%,"51,300",3.0,10%,6%
SO14,"212,786",,"143,433","215,378","281,840","341,330",,297,284,290,9.0,7%,"1,205",631,681,"1,043","1,193","1,514","1,917",468,592,6.8%,54%,1%,1%,6%,273,South East,"27,227",30%,28%,20%,"37,800",2.0,24%,47%
SO15,"230,446",,"135,048","203,860","324,587","370,105",,306,266,286,25.0,17%,"1,153",,686,929,"1,224","1,523","1,933",475,596,6.0%,72%,,6%,20%,185,South East,"41,701",29%,25%,26%,"45,000",2.0,12%,41%
SO16,"266,298",,"139,554","203,457","280,965","515,190","727,000",315,275,295,36.0,29%,"1,115",,674,929,"1,207","1,436",,474,,5.0%,57%,4%,8%,24%,126,South East,"66,270",25%,27%,19%,"42,600",3.0,29%,15%
SO17,"228,032",,"138,497","208,839","308,468","334,900",,,267,267,8.0,19%,"1,484",,705,922,"1,211","1,527","2,004",451,,7.8%,45%,4%,45%,16%,120,South East,"19,431",37%,20%,28%,"42,700",3.0,14%,43%
SO18,"258,441",,"133,300","210,935","308,798","427,500",,285,281,283,26.0,35%,896,,702,909,,,,,,4.2%,140%,9%,11%,24%,114,South East,"36,790",23%,27%,18%,"42,300",2.0,21%,17%
SO19,"253,390",,"135,238","221,339","287,870","375,750",,295,265,280,33.0,41%,932,,723,924,"1,251",,,,,4.4%,138%,6%,10%,18%,119,South East,"55,875",17%,29%,13%,"40,700",2.0,30%,14%
SO20,"710,165",,,,,,,,375,375,4.0,27%,,,,,,,,,,,,16%,55%,39%,57,South East,"8,117",45%,15%,38%,"56,900",3.0,13%,18%
SO21,"556,999",,,"357,454","509,630","746,074",,417,380,398,12.0,21%,,,,,,,,,,,,10%,30%,32%,47,South East,"19,762",43%,15%,44%,"62,000",3.0,11%,13%
SO22,"570,625",,,"387,421","541,666","823,850","1,157,941",465,444,455,17.0,16%,"2,067",,723,"1,290","1,618","2,024","2,678",,,4.3%,40%,2%,9%,18%,68,South East,"28,546",45%,16%,42%,"57,800",3.0,18%,14%
SO23,"487,678",,"222,268","366,692","579,306","742,907",,467,448,457,14.0,14%,"1,475",,856,"1,178",,"1,994",,561,,3.6%,48%,10%,15%,19%,125,South East,"22,073",45%,18%,43%,"50,900",2.0,24%,17%
SO24,"579,987",,,"448,990","548,248","727,820",,413,424,419,6.0,14%,"1,453",,,,,,,,,3.0%,127%,-2%,7%,10%,41,South East,"11,416",40%,13%,40%,"54,200",3.0,11%,13%
SO30,"344,013",,"154,996","246,844","348,760","500,821",,350,329,340,20.0,22%,938,,,940,,,,,,3.2%,140%,1%,7%,16%,60,South East,"32,351",28%,16%,30%,"53,600",3.0,9%,11%
SO31,"385,181",,"170,416","262,170","382,010","555,448","818,820",353,332,342,35.0,33%,908,,782,933,,,,,,2.8%,,3%,11%,22%,75,South East,"44,713",32%,15%,31%,"52,300",3.0,10%,12%
SO32,"517,715",,,"313,363","411,048","647,798",,372,357,364,11.0,17%,"1,077",,,,,,,,,2.5%,,3%,8%,16%,56,South East,"19,871",39%,13%,38%,"54,800",3.0,10%,9%
SO40,"344,170",,"174,950","268,971","347,635","506,950",,,333,333,25.0,34%,894,,,,,,,,,3.1%,,5%,16%,22%,77,South East,"41,930",24%,19%,21%,"48,400",3.0,10%,12%
SO41,"561,644",,"191,146","364,899","583,208","786,249","1,164,643",447,420,434,25.0,20%,"1,093",,,"1,072",,,,,,2.3%,92%,3%,17%,26%,64,South East,"31,318",33%,18%,28%,"44,700",3.0,10%,12%
SO42,"870,390",,,,,,,,483,483,,,,,,,,,,,,,,-6%,5%,13%,68,South East,"4,977",36%,17%,39%,"49,500",3.0,9%,15%
SO43,"612,954",,,,,,,,397,397,,,,,,,,,,,,,,10%,1%,45%,78,South East,"4,382",30%,15%,38%,"47,500",3.0,11%,15%
SO45,"347,682",,,"268,353","351,723","458,319",,385,318,351,25.0,36%,,,,,,,,572,,,,5%,14%,21%,71,South East,"34,996",22%,21%,18%,"45,300",3.0,15%,10%
SO50,"295,651",,"146,216","223,823","322,042","507,569",,320,314,317,33.0,32%,999,,726,930,"1,256",,,484,590,4.1%,140%,1%,8%,15%,97,South East,"46,318",25%,19%,23%,"49,100",3.0,16%,14%
SO51,"428,457",,"183,842","287,932","395,555","682,082",,393,361,377,17.0,23%,"1,049",,,,,,,,,2.9%,,1%,6%,19%,71,South East,"26,985",34%,17%,35%,"51,400",3.0,12%,12%
SO52,"381,998",,,,"359,737",,,,345,345,5.0,23%,,,,,,,,,,,,1%,2%,13%,60,South East,"6,968",28%,18%,26%,"51,900",3.0,13%,9%
SO53,"398,541",,,"271,997","395,219","592,407",,,353,353,16.0,31%,"1,117",,,,,,,,,3.4%,,12%,15%,22%,45,South East,"32,409",36%,14%,37%,"60,600",3.0,8%,10%
SP1,"311,716",,"189,921","242,798","354,746","489,182",,341,314,327,18.0,25%,848,,,,,,,,,3.3%,,-2%,7%,16%,119,South West,"21,621",35%,19%,31%,"45,400",3.0,17%,15%
SP2,"294,233",,"152,663","226,657","340,576","493,053",,338,293,315,21.0,38%,820,,,839,,,,496,,3.3%,,10%,9%,19%,87,South West,"28,823",29%,21%,23%,"42,800",3.0,20%,19%
SP3,"449,945",,,,"411,938",,,,307,307,6.0,31%,,,,,,,,,,,,10%,15%,32%,38,South West,"11,309",33%,17%,29%,"44,600",3.0,15%,16%
SP4,"342,103",,,"234,792","325,728","463,382",,,286,286,18.0,26%,924,,,,,,,,,3.2%,,3%,6%,22%,65,South West,"31,245",29%,17%,24%,"49,100",3.0,17%,22%
SP5,"479,979",,,"286,776","411,396","628,154",,,334,334,13.0,26%,,,,,,,,,,,,13%,25%,27%,42,South West,"22,227",35%,17%,37%,"48,800",3.0,8%,13%
SP6,"398,750",,,"286,122","377,885","614,684",,,337,337,12.0,35%,,,,,,,,,,,,16%,14%,22%,62,South West,"14,097",32%,17%,31%,"46,500",3.0,10%,13%
SP7,"345,306",,,"232,974","328,158","483,416",,306,275,290,11.0,26%,,,,,,,,,,,,4%,20%,32%,74,South West,"13,749",29%,18%,23%,"41,900",3.0,13%,13%
SP8,"292,993",,,"213,405","336,104","410,882",,306,260,283,10.0,21%,,,,,,,,,,,,6%,11%,22%,64,South West,"14,509",24%,19%,20%,"42,200",3.0,11%,14%
SP9,"229,392",,,"187,850","262,985",,,,268,268,3.0,25%,,,,,,,,,,,,-2%,,5%,60,South West,"10,664",18%,14%,15%,"46,900",3.0,21%,47%
SP10,"264,256",,"139,467","199,166","293,682","460,223",,296,285,290,25.0,43%,868,,,840,"1,111",,,536,,3.9%,132%,10%,12%,23%,93,South West,"40,475",20%,20%,21%,"49,000",3.0,18%,14%
SP11,"354,232",,,"217,362","331,200","569,941",,342,293,317,18.0,28%,"1,200",,,,,,,,,4.1%,127%,8%,13%,17%,74,South West,"23,377",25%,18%,30%,"53,100",3.0,19%,16%
SR1,"76,516",,,"71,254",,,,,87,87,2.0,7%,610,,,,,,,,,9.6%,101%,5%,1%,8%,602,North East,"5,336",14%,48%,7%,"26,600",2.0,56%,28%
SR2,"147,402",,,"103,747","162,539","282,784","340,490",,133,133,20.0,14%,504,,405,537,,,,,,4.1%,105%,12%,8%,16%,179,North East,"33,440",22%,32%,17%,"33,100",3.0,21%,22%
SR3,"163,424",,,"96,151","170,980","274,076",,,153,153,20.0,20%,593,,,,,,,,,4.4%,,3%,9%,10%,112,North East,"38,306",18%,32%,14%,"33,000",3.0,28%,8%
SR4,"114,332",,,"95,702","136,344","200,304",,,126,126,27.0,33%,520,,,,,,,,,5.5%,140%,,3%,9%,157,North East,"41,794",15%,35%,10%,"30,500",3.0,24%,15%
SR5,"104,738",,,"92,810","117,175",,,,113,113,11.0,27%,531,,,524,,,,,,6.1%,140%,10%,14%,18%,162,North East,"34,594",14%,37%,7%,"28,400",2.0,40%,11%
SR6,"196,636",,,"153,365","202,965","354,335",,,182,182,20.0,23%,610,,,,,,,,,3.7%,,14%,37%,36%,91,North East,"30,268",28%,23%,24%,"38,100",3.0,11%,10%
